url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,16,9
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats,5,1
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,3,2
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,3,2
/TheBinaryBjorn/smart-ac-controller/tree/main,3,1
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code/data,3,1
/TheBinaryBjorn/smart-ac-controller/blob/main/.github/workflows/traffic.yml,2,2
/TheBinaryBjorn/smart-ac-controller/tree/main/.github/workflows,2,2
/TheBinaryBjorn/smart-ac-controller/blob/github-repo-stats/TheBinaryBjorn/smart-ac-controller/latest-report/report.pdf,2,1
/TheBinaryBjorn/smart-ac-controller/blob/main/README.md,2,1
