time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,41,11,0,0
2026-05-05 00:00:00+00:00,26,7,0,0
2026-05-06 00:00:00+00:00,19,7,0,0
2026-05-07 00:00:00+00:00,19,6,0,0
2026-05-08 00:00:00+00:00,27,10,1,1
2026-05-09 00:00:00+00:00,19,6,0,0
2026-05-10 00:00:00+00:00,24,7,0,0
2026-05-11 00:00:00+00:00,21,8,1,1
2026-05-12 00:00:00+00:00,8,7,4,1
2026-05-13 00:00:00+00:00,35,8,0,0
2026-05-14 00:00:00+00:00,19,4,0,0
2026-05-15 00:00:00+00:00,15,6,0,0
2026-05-16 00:00:00+00:00,23,6,0,0
2026-05-17 00:00:00+00:00,19,6,0,0
